residence_type,num_tenants,season,num_appliances,num_occupants,size_value,size_unit,solar_kwh,daily_kwh,monthly_kwh,hourly_kwh
detached house,32,spring,65,62,304.9660340598694,m2,52.41952391891348,79.38651189942875,2392.1142704247795,3.371523635053156
cottage,85,summer,72,83,363.58250105126064,m2,14.763418829209527,168.43849608284378,5019.884749318848,7.021202485223841
apartment,4,autumn,27,65,2707.1836733942173,ft2,29.33784445799897,72.73506085893064,2189.5566602796753,3.0828483677325633
town house,45,autumn,36,60,225.57253908600535,m2,1.7830328013859975,92.52904240925325,2739.6939353742905,3.894790701093283
town house,81,spring,95,47,359.36014631091786,m2,0.5328115959869306,117.46980920244413,3627.810920900468,4.831377181306934
cottage,96,summer,86,25,198.15083942075282,m2,42.32719325636787,58.13418806288722,1754.646431592188,2.449756533784993
detached house,26,autumn,42,29,3555.1183226663493,ft2,7.097617347936042,68.37979004451482,2114.4681833532986,2.8994427480799154
apartment,66,summer,25,75,49.92315336457886,m2,32.868494226649055,88.05081853610935,2615.110359077145,3.667776342919831
detached house,19,spring,31,7,328.0548469784527,ft2,41.7604489326012,0.41407067633206174,12.009945674184747,0.004937123481838196
detached house,12,winter,54,9,225.46822115361203,m2,1.9340751737783557,64.5902502538525,1974.0415340730056,2.6126772316552
apartment,36,autumn,57,40,57.236400712060686,m2,26.92448394874092,40.77620821454838,1249.9847831136617,1.7331895514337294
cottage,89,autumn,19,78,391.32091497763355,m2,41.049116219150385,92.79567804666101,2701.9695064468647,3.8769240036682375
apartment,69,summer,7,66,32.03543439472555,m2,53.383859271291,52.94550499380799,1601.6406240374827,2.1599535123398286
cottage,49,spring,50,59,3183.0550736197883,ft2,17.953806036099387,99.86546875181584,3028.1243120932336,4.144769198148507
apartment,29,winter,80,54,120.05233744090165,m2,58.452991781059815,82.39107061246773,2413.355386422652,3.4406864379758773
cottage,15,autumn,16,12,387.9942419506608,m2,50.67248997958184,17.832559638533862,536.8500835984778,0.7150915288196107
apartment,28,autumn,41,34,171.17041073232156,m2,39.03810432491126,34.25346940867641,1010.0114236908055,1.4273617484036782
detached house,16,winter,17,8,40.09486771763011,m2,23.51553043476787,7.930073420277232,230.23305561664057,0.2429230934847122
cottage,19,winter,25,76,39.96623320124961,m2,42.66662257196992,95.4164594087356,2932.5124965850437,4.043156893539915
town house,69,autumn,62,76,234.7481475381348,m2,48.9715961442212,80.51636492614783,2414.1535985360765,3.355644002837807
apartment,14,autumn,29,26,4252.644502777887,ft2,18.19799249319344,59.64252425305785,1822.8782185079988,2.4301375018862283
town house,5,winter,27,30,4225.011118768136,ft2,59.56980389442176,68.68177450418007,2091.0706130816275,2.738755161921452
detached house,55,winter,100,32,1666.157171964612,ft2,54.51716218527834,66.83937496246968,2071.1791509978784,2.8364307038212395
cottage,29,winter,18,89,208.60035019989186,m2,29.13008642057536,145.63162464113472,4350.876846047398,6.095888937683462
cottage,46,summer,19,49,67.16864814519195,m2,43.36979494652371,49.342364272016596,1473.12127945515,2.0664661303408107
